week,topic,activity,momentum
2026-05-18,Climate & Environment,0,-1.0
2026-05-25,Climate & Environment,0,-1.0
2026-06-01,Climate & Environment,0,-1.0
2026-06-08,Climate & Environment,0,-1.0
2026-06-15,Climate & Environment,0,-1.0
2026-06-22,Climate & Environment,0,-1.0
2026-06-29,Climate & Environment,0,-1.0
2022-10-03,Economics & Finance,0,
2022-10-10,Economics & Finance,0,
2022-10-17,Economics & Finance,0,
2022-10-24,Economics & Finance,0,
2022-10-31,Economics & Finance,0,
2022-11-07,Economics & Finance,0,
2022-11-14,Economics & Finance,0,
2022-11-21,Economics & Finance,0,
2022-11-28,Economics & Finance,0,
2022-12-05,Economics & Finance,0,
2022-12-12,Economics & Finance,0,
2022-12-19,Economics & Finance,0,-1.0
2022-12-26,Economics & Finance,0,-1.0
2023-01-02,Economics & Finance,0,-1.0
2023-01-09,Economics & Finance,0,-1.0
2023-01-16,Economics & Finance,0,-1.0
2023-01-23,Economics & Finance,0,-1.0
2023-01-30,Economics & Finance,0,-1.0
2023-02-06,Economics & Finance,0,-1.0
2023-02-13,Economics & Finance,0,-1.0
2023-02-20,Economics & Finance,0,-1.0
2023-02-27,Economics & Finance,0,-1.0
2023-03-06,Economics & Finance,0,-1.0
2023-03-13,Economics & Finance,0,-1.0
2023-03-20,Economics & Finance,0,-1.0
2023-03-27,Economics & Finance,0,-1.0
2023-04-03,Economics & Finance,0,-1.0
2023-04-10,Economics & Finance,0,-1.0
2023-04-17,Economics & Finance,0,-1.0
2023-04-24,Economics & Finance,0,-1.0
2023-05-01,Economics & Finance,0,-1.0
2023-05-08,Economics & Finance,0,-1.0
2023-05-15,Economics & Finance,0,-1.0
2023-05-22,Economics & Finance,0,-1.0
2023-05-29,Economics & Finance,0,-1.0
2023-06-05,Economics & Finance,0,-1.0
2023-06-12,Economics & Finance,0,-1.0
2023-06-19,Economics & Finance,0,-1.0
2023-06-26,Economics & Finance,0,-1.0
2023-07-03,Economics & Finance,0,-1.0
2023-07-10,Economics & Finance,0,-1.0
2023-07-17,Economics & Finance,0,-1.0
2023-07-24,Economics & Finance,0,-1.0
2023-07-31,Economics & Finance,0,-1.0
2023-08-07,Economics & Finance,0,-1.0
2023-08-14,Economics & Finance,0,-1.0
2023-08-21,Economics & Finance,0,-1.0
2023-08-28,Economics & Finance,0,-1.0
2023-09-04,Economics & Finance,0,-1.0
2023-09-11,Economics & Finance,0,-1.0
2023-09-18,Economics & Finance,0,-1.0
