article_id,date,title,author,section,topic,tags,featured,url
PI0171,2026-02-08,Pizza or Petrie? The Controversial Pizza Shop Underneath UCL’s Petrie Museum,Charlotte Berman,Features,,university;university college london;Museums and Art;History,,
PI0172,2026-02-08,The Pi Perspective: Week 5,Pi Media,Editorial,,Opinion;news;News and media;London News,,
PI0173,2026-02-09,Cooking at Uni: The Student's Culinary Companion,Arun Toberman,Lifestyle & Culture,,cooking;meals;student;health,,
PI0174,2026-02-09,Diary of a CEO: Self-Help or Red-Pill Pipeline?,Katie Harwood,Opinion,,podcasts;Misogyny,,
PI0175,2026-02-09,Trump's Response to Continued Iranian Protests,Charlotte Peach,News,,Trump;Iran;UK;US Army;US;USA,,
PI0176,2026-02-09,Where Have All The Lesbians Gone?,Katie Harwood,Lifestyle & Culture,,Netflix;Book;Queer,,
PI0177,2026-02-09,“Lock your doors”: American State Violence is a Forecast of the Future,Louise Martin,Opinion,,Trump;America;ICE;Reform,,
PI0178,2026-02-10,'All the world’s a stage' – even Mully’s: A Review of UCL Shakespeare Society’s ‘As You Like It’,Reo Lane,Lifestyle & Culture,,UCL Shows;Shows;Play;Shakespeare,,
PI0179,2026-02-10,AFCON’s Chaotic Final: Everything You Might Have Missed,Anastasia Storey,Sport,,Sports;Men's sports;Football;Africa,,
PI0180,2026-02-10,Adding Insult to Injury: AI and the Graduate Job Market,Emily Webb Mariscal,Features,,jobs;job market;stress;graduate;AI;young people;university;employment,,
PI0181,2026-02-10,Living Rooms as Bedrooms: An Acceptable Reality for Young Renters?,Katie Harwood,Features,,student life;Housing;Mental Health;community;Rent,,
PI0182,2026-02-10,The Case of Andy Burnham: Labour’s Assault on Democracy is Self-Sabotaging,Joel Edgeworth,Opinion,,Andy Burnham;Labour;Election,,
PI0183,2026-02-10,‘All the world’s a stage’ – even Mully’s: A Review of UCL Shakespeare Society’s ‘As You Like It’,Reo Lane,Lifestyle & Culture,,"UCL Shows, Shows, Play, Shakespeare",,
